                                    Ordered by
                    Structure         TotalE     NoInterHelVDW     NoAllVDW        InterHB
      180_240_0_240_60_270_90          265.9          213.5          504.2          -26.3
     180_240_0_240_60_270_330          281.5          214.9          505.6          -27.3
     180_240_0_240_150_180_90          290.1          176.4          452.1          -34.0
     180_240_0_240_330_300_60          296.1          221.7          509.1          -34.1
     180_240_0_240_330_270_90          296.9          209.7          496.1          -33.8
     180_240_0_240_330_300_90          298.6          203.2          491.9          -40.7
      180_240_0_240_60_270_60          303.9          223.4          510.0          -31.8
     180_240_0_240_60_330_330          305.2          205.3          500.7          -30.2
      180_240_0_240_60_120_60          307.9          219.4          498.3          -33.6
    180_240_0_240_330_300_330          310.9          214.8          502.9          -30.9
     180_240_0_240_60_270_120          312.4          226.0          517.0          -29.1
    180_240_0_240_330_270_330          312.4          211.0          497.5          -34.8
    180_240_0_240_150_330_330          314.7          226.8          503.2          -23.1
     180_240_0_240_60_270_240          315.3          245.9          533.7          -23.7
      180_240_0_240_60_330_60          316.5          222.6          519.8          -27.8
    180_240_0_240_330_300_300          317.8          229.7          515.4          -31.6
    180_240_0_240_150_180_330          319.8          196.8          468.3          -30.1
      180_240_0_240_60_330_90          320.7          215.3          509.3          -28.0
      180_240_0_270_60_270_90          321.9          291.6          518.4          -26.1
     180_240_0_240_150_330_60          326.0          244.1          522.4          -20.7
     120_240_0_240_60_270_330          327.9          265.0          509.2          -27.8
     180_240_0_240_60_270_300          328.6          243.5          533.7          -21.8
      180_240_0_240_60_120_90          328.9          223.3          500.4          -30.0
     180_240_0_240_150_330_90          330.2          236.8          511.9          -20.9
      150_210_0_240_60_270_90          331.8          160.8          461.6          -48.6
     180_240_0_240_330_180_90          334.2          192.2          476.6          -40.9
     180_240_0_240_60_270_270          334.8          236.5          534.0          -19.9
     180_240_0_240_330_270_60          334.9          219.6          501.9          -39.3
    180_240_0_240_330_330_330          335.1          220.6          496.1          -32.4
     180_240_0_240_150_270_90          336.3          262.6          503.8          -30.9
      120_240_0_240_60_270_90          337.0          266.7          512.9          -25.0
     180_240_0_240_150_180_60          337.0          224.6          483.0          -30.0
     180_240_0_270_60_270_330          337.4          292.9          519.8          -27.1
    180_240_0_240_330_270_120          343.4          222.2          508.9          -36.6
      180_240_0_240_60_90_240          344.3          246.9          530.1          -24.6
       180_240_0_240_60_60_60          345.9          266.8          537.8          -22.8
    180_240_0_240_330_270_240          346.2          242.0          525.6          -31.2
     180_240_0_240_330_330_60          346.4          237.9          515.3          -30.0
     180_240_0_240_60_120_330          347.6          239.8          514.4          -29.4
     120_240_0_240_60_270_240          349.5          290.1          531.8          -32.2
     180_240_0_240_330_330_90          350.6          230.6          504.7          -30.2
     180_240_0_240_60_270_210          351.1          263.7          543.2          -20.1
      180_240_0_240_60_270_30          351.1          275.1          526.6          -28.0
     120_240_0_240_60_330_330          351.7          255.5          504.3          -30.7
    180_240_0_240_150_270_330          351.9          264.0          505.2          -31.9
     120_240_0_240_330_300_60          352.1          269.6          513.0          -34.4
     120_240_0_240_60_270_120          352.7          276.5          522.6          -31.4
     180_240_0_240_60_330_300          353.0          232.3          527.7          -26.8
     210_210_0_240_60_270_330          354.3          179.2          487.7          -38.5
     210_210_0_240_60_270_120          354.7          173.7          485.7          -41.5
     150_210_0_240_150_180_90          355.9          123.6          409.5          -56.3
     180_240_0_240_60_120_300          357.1          249.8          525.5          -29.5
    120_240_0_240_330_300_330          357.3          264.9          506.6          -31.4
