                                                                  Ordered by
                    Structure         TotalE     NoInterHelVDW     NoAllVDW        InterHB
  150_330_330_180_150_180_210         5125.4          593.4          360.9          -75.8
   120_180_330_180_150_180_30         1929.7          300.0          363.0          -82.6
     120_180_330_0_120_180_30         2993.4          363.1          364.7          -78.8
   150_330_330_180_150_180_90         4880.5          569.9          365.1          -72.1
  150_330_330_180_150_150_150         4913.3          582.3          365.9          -82.9
  120_120_330_180_150_180_240        34549.3         1066.9          366.1          -90.7
  150_330_330_180_150_180_150         4900.6          577.1          366.3          -71.0
  120_120_330_180_150_180_210         5026.8          107.6          366.4          -88.3
    90_120_330_180_150_180_90         2282.7          116.1          366.6          -87.7
      90_120_330_90_90_210_60        15032.0          126.4          367.0          -75.3
   150_330_330_180_150_180_30         5330.3          614.2          367.0          -75.3
   90_120_330_180_150_180_180         2343.8          158.9          367.1          -85.5
  150_330_330_180_120_180_210         7128.3          668.5          367.2          -74.0
   120_330_330_180_150_180_30         5965.5          445.6          367.4          -71.8
   120_120_330_180_150_180_30         4814.7          100.6          368.9          -91.3
     90_120_330_180_90_210_60         3730.9          129.8          368.9          -80.3
   120_180_330_180_120_180_30         3932.6          375.1          369.3          -80.8
  150_330_330_180_150_180_270         7652.7          651.6          369.4          -69.3
      90_0_300_150_120_180_90       217247.5          192.5          369.4          -77.5
   90_120_330_180_150_180_240        32050.4         1110.9          369.5          -86.2
     120_0_330_180_150_180_30         5610.8          247.4          369.5          -76.4
   150_330_330_180_90_210_210         6145.3          635.0          370.1          -67.6
  120_330_330_180_150_180_210         5773.8          433.1          370.1          -68.3
      90_0_330_180_150_180_90        47554.8          158.1          370.5          -71.2
    120_120_330_0_120_180_240        35364.0         1120.2          370.7          -79.2
    120_120_330_0_120_180_210         5841.4          160.8          371.0          -76.8
      90_120_330_0_120_180_90         3097.3          169.3          371.2          -76.2
   150_330_330_180_120_180_90         6883.4          645.0          371.4          -70.3
  120_180_330_180_150_180_210         2167.2          315.5          371.4          -85.6
   150_330_240_150_120_180_90       143786.2          364.6          371.5          -51.3
     90_120_330_0_120_180_180         3158.4          212.1          371.7          -74.0
     120_120_330_90_90_210_60        17501.9           88.0          371.9          -74.7
   90_120_330_180_150_150_180         2351.9          158.6          372.0          -97.8
      90_120_330_0_270_210_60        23223.0          165.9          372.1          -83.2
  120_120_330_180_120_180_240        36552.3         1142.1          372.4          -88.9
       90_120_330_0_90_210_60         2105.7           97.2          372.5          -72.1
  150_330_330_180_120_180_150         6903.5          652.2          372.6          -69.2
  120_120_330_180_120_180_210         7029.7          182.7          372.7          -86.5
    90_120_330_180_120_180_90         4285.6          191.2          372.9          -85.9
    120_180_330_0_120_180_210         3230.9          378.6          373.1          -81.8
   120_180_330_180_150_120_30         2431.4          293.3          373.2          -96.0
   150_330_240_150_120_240_90       143806.1          329.8          373.3          -56.3
   150_330_330_180_120_180_30         7333.2          689.3          373.3          -73.5
   90_120_330_180_120_180_180         4346.8          234.1          373.4          -83.7
     120_120_330_0_120_180_30         5629.3          153.8          373.4          -79.8
    90_120_330_180_150_210_60         2689.6          156.0          373.5          -88.9
    120_120_330_90_90_210_210        17347.9          145.9          373.7          -75.1
   120_330_330_180_120_180_30         7968.4          520.7          373.7          -70.0
   120_270_330_180_150_180_30         2686.2          230.6          373.7          -75.4
  150_330_330_240_150_180_210         8665.9          596.4          373.8          -80.3
    120_120_330_180_90_210_60         6200.7           91.3          373.8          -79.7
  150_180_330_180_150_180_210         2401.1          140.6          373.9          -75.6
  120_120_330_180_150_180_330         4800.9           87.7          374.0          -87.0
     90_120_330_0_120_180_240        32865.0         1164.1          374.1          -74.7
   150_180_330_180_150_180_30         2176.8          133.4          374.3          -68.6
  150_330_330_180_150_210_210         5104.0          661.2          374.7          -76.2
     120_180_330_0_150_180_30         1007.3          317.1          375.0          -81.0
   120_120_330_180_150_180_90         4795.0           82.1          375.1          -83.7
  150_330_330_240_120_180_210        10764.9          659.2          375.1          -79.4
   120_120_330_180_120_180_30         6817.6          175.7          375.1          -89.5
    150_180_330_0_120_180_210         3464.8          203.7          375.6          -71.8
   120_120_330_180_90_210_210         6046.7          149.2          375.6          -80.1
    90_120_330_180_150_120_60         2812.1          130.9          375.6          -97.7
     90_120_330_240_90_210_60         2716.1          116.7          375.7          -79.8
  150_330_330_180_120_180_270         9655.6          726.7          375.7          -67.5
   90_120_330_180_120_180_240        34053.3         1186.0          375.8          -84.4
     120_0_330_180_120_180_30         7613.7          322.5          375.8          -74.6
     150_180_330_0_120_180_30         3240.5          196.5          375.9          -64.8
  120_120_330_180_150_180_180         4837.4          115.4          376.0          -83.3
  120_330_330_180_120_180_210         7776.7          508.2          376.4          -66.5
   120_150_330_180_150_180_30         2747.3          173.8          376.6          -78.9
      90_0_330_180_120_180_90        49557.7          233.2          376.7          -69.4
   120_180_300_150_120_180_30         4586.9          375.7          376.8          -75.3
  150_330_330_180_150_150_270         7951.6         2744.5          376.8          -81.5
   150_330_330_240_90_210_210         9330.1          618.4          376.8          -73.7
    150_330_330_90_90_210_210        17408.0          657.7          376.9          -70.2
  150_330_240_150_120_180_210       144042.1          398.4          376.9          -52.9
     120_120_330_0_270_210_60        25692.9          127.5          377.0          -82.6
  150_150_330_180_150_180_210         2395.8          111.1          377.1          -79.8
     90_0_330_180_150_180_180        47596.3          181.1          377.1          -64.6
     90_120_330_180_150_180_0         2341.1          137.0          377.1          -88.0
