bin  all  avg  TM1  TM2  TM3  TM4  TM5  TM6  TM7
100    5    5    4    5    6    6    5    6    5
 95    1    1    1    1    0    0    1    0    1
 90    0    0    1    0    0    0    0    0    0
 85    0    0    0    0    0    0    0    0    0
 80    0    0    0    0    0    0    2    0    0
 75    0    0    0    0    2    0    0    1    0
 70    1    1    0    1    0    1    0    0    0
 65    1    1    0    1    0    1    0    1    0
 60    0    0    1    0    1    0    0    0    1
 55    0    0    1    0    2    0    0    0    0
 50    0    0    0    0    7    0    0    0    3
 45    0    0    0    0   22    5    8    7   16
 40    0    0    2    3   54    2   26   10   13
 35    6   27    7    6   77   34   67   19   30
 30   64   72   80   28   30   31   64   23   48
 25  128  100   64   50   10   32   39   54   54
 20    5    5   47  100    1   38    0   57   28
 15    2    1    5   12    0   39    0   33   12
 10    0    0    0    6    1   20    0    1    1
  5    0    0    0    0    0    2    1    1    0
  0    0    0    0    0    0    2    0    0    1
