                                                  Ordered by
                    Structure         TotalE     NoInterHelVDW     NoAllVDW        InterHB
      120_120_330_0_90_210_60         4575.6           58.8          377.5          -71.5
      180_120_330_0_90_210_60         1837.0           71.0          388.8          -63.0
    120_120_330_240_90_210_60         5185.9           78.2          380.6          -79.2
   120_120_330_180_150_180_90         4795.0           82.1          375.1          -83.7
    90_150_330_180_150_180_90         2767.1           82.1          394.4          -82.4
     120_120_330_0_90_240_330         3578.3           82.6          408.4          -77.4
       90_150_330_0_90_210_60         2821.1           82.9          411.7          -82.9
    90_150_240_150_150_180_90        61408.2           83.2          421.1          -52.5
     120_120_330_0_60_270_330         5732.5           83.7          402.8          -77.7
     120_120_330_0_180_210_60         4807.2           83.7          384.9          -85.5
      120_120_330_0_60_120_60         5767.1           84.2          405.5          -74.4
      120_120_330_0_90_180_90         3720.9           84.4          411.0          -64.4
     120_120_330_0_60_330_330         5769.6           84.4          406.2          -80.5
      120_120_330_0_60_120_30         5801.5           85.6          403.9          -82.0
      120_120_330_0_90_240_90         3591.4           86.6          406.8          -77.6
      90_150_30_330_90_210_60      1895568.4           86.9          439.6          -47.1
     120_120_330_0_90_210_330         4386.8           87.1          393.1          -70.9
   150_150_330_180_150_180_90         2147.7           87.5          378.8          -73.6
  120_120_330_180_150_180_330         4800.9           87.7          374.0          -87.0
       120_120_330_0_90_150_0         3574.7           87.9          406.6          -69.6
     120_120_330_90_90_210_60        17501.9           88.0          371.9          -74.7
       90_180_330_0_90_210_60         1926.1           88.0          394.1          -64.2
      120_120_330_0_60_270_60         5758.8           88.3          402.9          -74.0
      120_120_330_0_90_210_90         4401.3           88.5          399.1          -70.8
   150_150_240_150_150_180_90        60788.8           88.6          405.4          -43.7
   120_120_330_240_150_180_90         4136.0           88.7          388.0          -81.6
   180_120_330_180_150_180_90         2041.5           89.2          381.5          -76.8
     120_120_330_0_90_300_210         3556.2           89.3          412.6          -73.2
     120_120_330_0_150_180_90         3623.6           89.4          390.0          -74.4
     120_120_330_0_90_180_330         3726.7           89.9          409.9          -67.7
     120_120_330_0_90_240_120         3593.2           90.1          411.3          -75.4
     120_120_330_0_180_180_90         4593.7           90.1          406.5          -79.8
  120_120_330_180_150_180_120         4853.7           90.3          380.1          -83.6
     120_120_330_0_90_300_330         3552.0           90.4          415.0          -75.5
    180_120_330_240_90_210_60         2447.4           90.5          391.9          -70.7
    90_150_330_240_150_180_90         2342.9           90.5          405.4          -83.5
      120_120_330_0_180_150_0         4808.3           90.6          398.7          -77.8
    120_120_330_180_150_180_0         4825.9           90.6          380.1          -86.0
    120_120_330_180_90_210_60         6200.7           91.3          373.8          -79.7
     120_120_330_0_90_150_330         3623.9           91.4          401.6          -73.7
      180_120_330_0_90_180_90          967.3           91.4          417.5          -57.5
     120_120_330_0_60_120_210         5814.8           91.5          414.5          -79.7
     90_150_330_240_90_210_60         3441.0           92.4          412.9          -83.0
   120_120_330_180_150_120_60         5281.9           92.4          380.6          -97.1
     120_120_330_0_90_150_180         3553.7           92.5          403.8          -69.7
     120_120_330_0_90_180_120         3779.5           92.5          416.0          -64.3
     180_120_330_0_90_240_330          849.3           92.6          419.9          -68.7
       120_120_330_0_90_180_0         3751.7           92.8          416.1          -66.7
     120_120_330_0_90_150_120         3580.9           93.0          411.6          -74.0
      120_120_330_0_90_240_60         3555.1           93.1          415.5          -70.2
       120_120_330_0_60_330_0         5820.9           93.2          419.1          -73.8
      120_120_330_0_90_300_60         3541.0           93.3          416.9          -70.5
      120_120_330_0_90_150_60         3542.2           93.4          407.5          -65.8
      180_120_330_0_90_240_90          837.9           93.7          413.3          -70.7
     180_120_330_0_60_270_330         3003.5           93.7          414.3          -69.0
      120_120_330_0_90_300_90         3563.7           93.8          421.3          -78.1
   120_120_330_180_150_120_30         5316.4           93.9          379.1         -104.7
    120_120_330_0_180_150_330         4857.5           94.1          393.7          -81.9
  120_120_330_240_150_180_330         4141.8           94.2          386.9          -84.9
      120_120_330_0_60_210_60         6601.1           94.4          406.5          -76.6
     180_120_330_0_60_330_330         3040.7           94.5          417.7          -71.8
    120_120_330_0_150_180_330         3629.4           94.9          388.9          -77.7
    120_120_330_0_180_150_180         4787.3           95.2          395.9          -77.9
      120_120_330_0_90_300_30         3600.8           95.5          417.9          -73.5
      180_120_330_0_90_210_90         1647.8           95.6          405.6          -63.9
    120_120_330_0_180_180_330         4599.5           95.6          405.4          -83.1
   180_120_330_240_150_180_90         1382.4           95.7          394.4          -74.7
    120_120_330_0_180_150_120         4814.5           95.7          403.8          -82.2
   150_150_330_240_150_180_90         1723.5           95.9          389.8          -74.7
     180_120_330_0_180_210_60         2068.7           96.0          396.2          -77.0
     120_120_330_0_180_150_60         4775.8           96.1          399.6          -74.0
       90_150_330_0_90_180_90         1918.2           96.1          430.4          -73.9
     120_120_330_0_90_150_240         4566.7           96.3          407.2          -77.0
      180_180_330_0_90_210_60         2613.0           96.3          408.5          -58.6
      180_120_330_0_60_120_60         3028.5           96.4          416.8          -65.9
     180_120_330_0_150_180_90          870.0           96.4          396.5          -67.5
      150_150_330_0_90_210_60         2191.4           96.5          413.6          -74.9
     120_120_330_0_60_330_180         5796.6           96.5          420.3          -71.6
  120_120_330_240_150_180_120         4194.6           96.8          393.0          -81.5
     120_120_330_0_90_300_180         3577.3           96.9          421.4          -68.3
       120_120_330_0_90_240_0         3582.8           96.9          426.3          -69.1
     180_120_330_0_90_210_330         1657.8           97.1          404.6          -62.2
     180_120_330_0_180_180_90         1840.1           97.1          413.0          -72.9
    120_120_330_240_150_180_0         4166.9           97.2          393.0          -83.9
       90_120_330_0_90_210_60         2105.7           97.2          372.5          -72.1
      120_120_330_0_60_270_90         5740.9           97.3          418.7          -69.5
    120_120_330_0_150_180_120         3682.2           97.5          395.0          -74.3
  180_120_330_180_150_180_330         2071.9           97.7          385.5          -78.3
      120_120_330_0_60_330_60         5784.8           97.8          421.0          -69.9
      120_120_330_0_90_240_30         6735.1           97.8          419.7          -74.5
      120_120_330_0_90_210_30         4393.2           97.8          409.5          -66.0
   180_150_330_180_150_180_90         2153.1           97.8          399.9          -72.0
      120_120_330_0_150_180_0         3654.5           97.9          395.1          -76.7
    120_120_330_0_180_180_120         4652.3           98.2          411.5          -79.7
       90_150_330_0_90_240_90         1788.8           98.4          426.3          -87.1
      120_120_330_0_180_180_0         4624.6           98.6          411.6          -82.1
    120_120_330_90_150_180_90        16451.5           98.6          388.6          -77.3
   180_150_240_150_150_180_90        60794.2           98.9          426.6          -42.1
   120_120_330_240_150_120_60         4622.9           99.0          393.5          -95.0
    120_120_330_0_180_150_240         5800.3           99.0          399.3          -85.2
      180_150_330_0_90_210_60         2179.6           99.3          418.6          -74.3
    120_120_330_330_90_210_60         4273.4           99.6          406.8          -59.7
     120_120_330_0_150_120_60         4110.5           99.7          395.6          -87.8
     180_120_330_0_90_240_120          870.4           99.8          420.9          -64.9
  120_120_330_180_150_120_210         5329.7           99.8          389.6         -102.4
    90_150_240_150_150_240_90        61491.8           99.9          425.1          -66.4
     180_120_330_0_90_180_330          997.7           99.9          421.4          -59.0
      90_150_30_330_90_180_90      1894672.4          100.0          450.4          -39.9
  180_120_330_180_150_180_120         2130.9          100.0          389.6          -73.1
       120_120_330_0_90_210_0         4358.2          100.2          405.5          -65.4
    90_180_330_180_150_180_90         1869.9          100.2          394.5          -71.8
     180_120_330_90_90_210_60        14763.3          100.2          383.3          -66.2
       180_120_330_0_90_150_0          822.4          100.2          415.6          -62.7
       90_150_330_0_90_210_90         2598.7          100.3          418.5          -80.3
     120_120_330_0_90_240_240         3616.9          100.3          406.3          -80.0
     180_120_330_0_90_300_330          823.0          100.4          426.5          -66.8
   120_120_330_240_150_120_30         4657.4          100.5          392.0         -102.6
     150_150_30_330_90_210_60      1894938.7          100.5          441.5          -39.1
      180_120_330_0_60_270_60         3020.2          100.5          414.2          -65.5
   120_120_330_180_150_180_30         4814.7          100.6          368.9          -91.3
      180_120_330_0_90_300_90          810.1          100.8          427.7          -71.2
   150_240_330_180_150_180_90         2190.2          100.8          400.1          -62.5
     120_120_330_0_60_120_240         5941.5          100.9          412.6          -82.3
       120_120_330_0_60_270_0         5778.4          100.9          427.1          -64.0
     120_120_330_0_150_120_30         4145.0          101.2          394.0          -95.4
      90_150_330_0_150_180_90         1821.0          101.2          409.5          -83.9
       120_120_330_0_60_150_0         5862.4          101.2          404.1          -74.3
  150_150_330_180_150_180_120         2211.2          101.3          399.3          -69.5
     180_120_330_0_90_150_330          894.9          101.4          413.1          -65.0
      120_120_330_0_90_150_30         3571.8          101.4          416.8          -71.2
       120_120_330_0_30_150_0       417387.7          101.4          407.6          -73.9
      90_150_0_210_240_180_90       107428.3          101.5          439.4          -56.4
      150_150_330_0_90_180_90         1298.8          101.5          414.8          -65.1
     120_120_330_0_60_120_180         5761.3          101.7          421.9          -74.8
    120_120_330_0_180_330_330         4541.4          101.8          416.0          -78.9
      90_150_330_0_180_180_90         2791.1          101.9          426.0          -89.3
   120_120_330_240_90_240_330         4188.6          102.0          411.6          -85.1
     180_120_330_0_90_180_120         1056.7          102.2          425.6          -53.8
       120_120_330_0_90_300_0         3621.2          102.2          429.3          -73.4
     120_120_330_0_90_150_210         3599.9          102.4          407.4          -74.5
  150_150_330_180_150_180_330         2206.7          102.7          394.8          -76.7
     180_120_330_0_90_150_120          858.1          102.7          421.2          -63.5
      120_120_330_0_90_180_30         3740.5          102.8          404.8          -72.0
   150_150_330_180_150_120_30         2681.2          102.8          394.5          -90.2
      180_120_330_0_180_150_0         2056.1          103.0          407.7          -70.9
    180_120_330_180_150_180_0         2073.7          103.0          389.1          -79.1
     180_150_30_330_90_210_60      1894926.8          103.2          446.5          -38.5
  150_150_330_180_150_120_210         2698.7          103.3          400.3          -93.9
      90_150_30_330_90_210_90      1895345.0          103.6          443.7          -44.5
