accession     e-value          % ident
Q9NYW5                   0         100
Q646D3         6.7433e-166          99
Q646B0         3.3467e-165          98
Q645Y8         6.9782e-163          97
Q645U4         8.5303e-161          95
Q646F1         1.0791e-155          94
Q9JKT3         5.4305e-107          67
Q67ET0         3.5199e-106          64
Q645V8          4.6942e-34          30
Q646A2           8.007e-34          31
Q646D6          1.0457e-33          31
Q9NYW3          1.0457e-33          31
Q9JKE9          2.3297e-33          32
Q645S5          6.7784e-33          30
P59530          1.5101e-32          32
Q645T7          1.9722e-32          30
Q646A9          2.5758e-32          29
Q646C8          2.5758e-32          29
Q646F6          3.3641e-32          30
P59534          3.3641e-32          29
Q645Y7          5.7382e-32          29
Q7TQB8          1.2783e-31          28
Q646F0          2.1805e-31          30
Q646A7          6.3444e-31          28
Q646D2          6.3444e-31          28
Q9NYW6          6.3444e-31          28
Q645Y5          6.3444e-31          28
Q645U8          1.4134e-30          27
P59535          7.0145e-30          28
Q646E8          9.1612e-30          27
Q9JKT5          1.1965e-29          26
Q646B1          1.1965e-29          28
Q646D4          1.1965e-29          28
Q9JKE7          2.0409e-29          30
P59532          2.0409e-29          30
Q646G4          3.4813e-29          28
Q645Y9          3.4813e-29          28
Q67ET2          1.0129e-28          26
Q645U5          1.0129e-28          28
P59536          1.3229e-28          30
Q646F2          1.7277e-28          28
Q646B2          2.2565e-28          30
Q646C7          2.2565e-28          30
Q646A3          6.5654e-28          27
Q645U2          1.4626e-27          26
Q67ER9          1.4626e-27          28
Q646F3          5.5579e-27          26
Q645Y3          7.2589e-27          26
Q7TQA5          9.4804e-27          27
Q67ES9           2.112e-26          26
Q9NYW2           2.112e-26          26
Q646E5          3.6025e-26          26
Q7M718           6.145e-26          28
Q9JKT4           6.145e-26          25
Q646F7           6.145e-26          25
Q645V9          8.0256e-26          29
Q645T0          1.0482e-25          29
Q9JKT9           1.369e-25          25
Q646C6           1.369e-25          28
Q646C5           1.369e-25          26
Q645V1          2.3351e-25          24
Q646B6          2.3351e-25          23
Q646F5          2.3351e-25          27
Q7M725          3.0497e-25          25
Q4VHE7          5.2021e-25          27
Q67ES5          6.7941e-25          27
Q646D8          6.7941e-25          23
P59543          8.8734e-25          24
Q646B5          8.8734e-25          26
Q646D7          8.8734e-25          26
Q9NYW1          1.1589e-24          28
Q675B7          1.5136e-24          24
Q9JKU1          1.9768e-24          25
Q646G5          1.9768e-24          28
Q8MJU6          1.9768e-24          27
Q9NYW0          3.3719e-24          26
Q646G7          4.4038e-24          24
Q646G1          7.5118e-24          24
Q645Z5          7.5118e-24          24
Q67ET3          9.8107e-24          26
Q646H0          9.8107e-24          24
Q646G9          9.8107e-24          24
Q5Y4Y9          9.8107e-24          26
Q697L2          9.8107e-24          26
Q645V0          9.8107e-24          26
Q67ET5          1.2813e-23          24
Q645U6          1.2813e-23          28
Q646E3          1.6734e-23          24
Q7M723           3.728e-23          24
Q9NYW7           3.728e-23          24
Q646C2           3.728e-23          24
Q646A0           3.728e-23          24
Q646F9           3.728e-23          26
Q9JKT2           4.869e-23          26
P59533           4.869e-23          25
Q9JKE8          6.3591e-23          24
Q645V6          6.3591e-23          23
Q7M720          8.3052e-23          24
Q697L5          1.0847e-22          25
Q7M710          1.4167e-22          24
Q7M713          1.4167e-22          24
Q697L4          1.4167e-22          25
Q645T2          1.4167e-22          24
Q9NYV9          1.4167e-22          23
Q9JKT8          1.8502e-22          25
Q9JKA3          1.8502e-22          24
Q67ES0          2.4165e-22          26
Q7M721          2.4165e-22          25
Q645Z4          2.4165e-22          26
Q645U9           3.156e-22          25
Q646F4           3.156e-22          23
Q5Y500          4.1218e-22          25
Q697L6          4.1218e-22          24
Q7TQA8          5.3833e-22          23
Q7M709          5.3833e-22          24
Q67ET7          5.3833e-22          25
P59538          5.3833e-22          25
P59528          7.0308e-22          25
Q645U7          7.0308e-22          22
Q645Z3          7.0308e-22          24
Q7M712          9.1825e-22          25
Q646F8          9.1825e-22          25
Q646B4          9.1825e-22          25
Q67ES3          1.1993e-21          24
Q646B8          1.1993e-21          24
Q646E9          1.1993e-21          23
Q9JKT7          1.1993e-21          23
Q675B8          1.5663e-21          23
Q5Y4Z8          1.5663e-21          25
Q645V3          1.5663e-21          25
Q646B9          1.5663e-21          24
Q646E0          1.5663e-21          24
Q646G6          2.0456e-21          23
Q67ES7          2.6717e-21          20
Q7M722          2.6717e-21          25
Q675C0          3.4893e-21          25
Q646D5          3.4893e-21          23
Q7TQA7          3.4893e-21          23
Q9NYW4          4.5572e-21          23
P59539          4.5572e-21          25
Q646E6          5.9519e-21          23
Q646A1          5.9519e-21          26
Q5Y4Z2          5.9519e-21          24
Q697L3          5.9519e-21          24
Q7TQA6          5.9519e-21          24
Q7M724          7.7735e-21          25
P59540          7.7735e-21          23
Q646D9          7.7735e-21          25
Q7TQB0          1.0152e-20          20
Q7M717          1.0152e-20          22
Q646A4          1.0152e-20          22
Q646D0          1.0152e-20          21
Q645Z0          1.0152e-20          22
Q646C3          1.0152e-20          26
Q646E4          1.0152e-20          26
P59544          1.0152e-20          26
Q646A5          1.3259e-20          21
P59537          1.3259e-20          25
Q7TQB9          1.7317e-20          21
Q7TQA4          1.7317e-20          23
Q5Y4Y8          1.7317e-20          23
Q646E1          1.7317e-20          24
Q645T3          1.7317e-20          24
Q645Z2          1.7317e-20          26
Q645Z9          2.2617e-20          24
Q646C0          2.2617e-20          23
Q7RTR8          2.2617e-20          24
Q9NYV8          2.2617e-20          25
Q645Z1          2.9539e-20          23
Q645S2          3.8579e-20          24
P59551          3.8579e-20          22
Q67ES6          5.0386e-20          23
Q645Z7          5.0386e-20          23
Q645U0          6.5806e-20          22
Q646G2          6.5806e-20          25
Q645T6          6.5806e-20          25
Q67ET4          1.1225e-19          22
Q9JKF0          1.1225e-19          24
Q675B9          1.1225e-19          22
Q7M707          1.1225e-19          23
Q5Y4Z5          1.1225e-19          24
Q645V4          1.1225e-19          25
Q7M715          1.9147e-19          22
Q646B7          1.9147e-19          25
Q645V2          7.2757e-19          24
Q646E2          9.5024e-19          23
Q645Z6          9.5024e-19          23
Q645V7          1.6209e-18          24
Q67ET1          2.1169e-18          25
P59542          2.7648e-18          23
Q646C1          3.6109e-18          23
P59541          3.6109e-18          22
Q645T4          1.7921e-17          24
Q646E7           8.894e-17          19
Q646G3          1.5171e-16          23
Q5Y4Z0          1.9814e-16          21
Q645U1          1.9814e-16          19
Q645T9          3.3797e-16          23
Q67ES2          5.7649e-16          21
Q646B3          7.5292e-16          19
Q645Y4          9.8334e-16          19
Q7TQA9          2.1907e-15          21
Q646G0          2.1907e-15          21
Q646D1          2.1907e-15          19
Q67ES1          2.8611e-15          18
Q9NYV7          1.8545e-14          19
Q7M711          3.1633e-14          18
Q67ER8          5.3958e-14          19
P59531           1.329e-12          24
P59529          9.5245e-11          19
Q9JKU0          2.7712e-10          20
Q8VIC7            0.047379          12
Q89A60            0.047379          11
